Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,실제 값,예측 값
-21.984,48.06,1358,412,12979,19387,938.695,1.91,1.98,13.14,2.049,0.046,23180,1,1
16.825,47.69,1113,400,12908,19446,938.728,1.81,1.88,12.42,1.937,0.044,17660,1,1
12.814,53.0,1166,408,12885,19438,938.762,1.86,1.93,12.8,1.997,0.045,16487,1,1
25.48,48.11,1413,437,12936,19368,938.702,1.67,1.73,11.48,1.79,0.04,21272,1,1
26.92,47.95,1297,400,12995,19410,938.862,1.93,2.01,13.29,2.073,0.047,24927,1,1
0.255,47.08,172,400,13207,20047,939.661,2.16,2.24,14.86,2.317,0.052,3935,1,1
20.657,47.73,1195,401,12916,19431,938.716,1.83,1.9,12.61,1.966,0.044,18802,1,1
53.53,22.86,60000,24703,10880,15590,936.81,11779.88,25125.77,48697.42,28055.238,12794.75,5106,0,0
-9.26,51.5,28,400,13251,20217,939.717,2.66,2.77,18.34,2.86,0.065,5435,1,1
27.67,40.89,96,414,12769,20618,937.437,2.26,2.35,15.58,2.43,0.055,1493,0,0
20.88,50.02,293,400,13117,19973,939.406,0.42,0.44,2.91,0.454,0.01,7834,1,1
20.09,52.96,51,400,13238,20157,939.642,2.29,2.38,15.74,2.454,0.055,4725,1,1
26.9,47.68,1086,435,12870,19456,938.827,1.9,1.97,13.06,2.037,0.046,14958,1,1
24.83,52.26,1138,440,12871,19448,938.813,1.89,1.96,12.99,2.025,0.046,15402,1,1
2.645,48.74,952,664,12792,19494,939.093,2.13,2.21,14.63,2.282,0.052,10660,1,1
16.443,51.66,52,400,13215,20130,939.636,1.04,1.08,7.16,1.116,0.025,2597,0,0
-14.851,48.04,1387,400,12974,19380,938.737,1.96,2.03,13.48,2.102,0.047,23963,1,1
28.82,41.3,84,400,12791,20636,937.4,1.76,1.82,12.09,1.885,0.043,1663,0,0
13.792,53.67,1164,421,12892,19444,938.745,1.69,1.76,11.64,1.816,0.041,16856,1,1
17.277,53.05,1161,490,12846,19447,938.92,1.96,2.04,13.52,2.108,0.048,14091,1,1
52.46,13.58,3757,400,13075,19725,936.828,1.2,1.25,8.28,1.292,0.029,4628,0,0
1.464,51.6,161,400,13213,20057,939.646,2.27,2.35,15.59,2.431,0.055,3828,1,1
-2.685,48.46,88,400,13239,20131,939.644,2.2,2.29,15.16,2.364,0.053,4215,1,1
-11.26,47.26,1166,400,13039,19450,938.767,2.35,2.44,16.18,2.524,0.057,24138,1,1
20.623,53.32,1153,541,12835,19450,938.87,2.2,2.29,15.18,2.366,0.053,13200,1,1
19.85,53.86,107,400,13233,20109,939.658,2.21,2.3,15.21,2.372,0.054,4261,1,1
-20.516,48.07,1344,400,12969,19394,938.734,1.9,1.97,13.05,2.036,0.046,22700,1,1
12.0,44.78,0,400,13260,21197,937.411,1.69,1.75,11.62,1.812,0.041,3616,0,0
12.772,43.58,0,400,13403,21212,937.407,2.15,2.23,14.77,2.304,0.052,3784,0,0
20.9,50.24,315,400,13109,19945,939.387,0.25,0.26,1.73,0.27,0.006,8055,1,1
22.88,56.58,937,712,12779,19497,939.074,2.18,2.26,15.0,2.339,0.053,10276,1,1
20.01,64.48,646,572,12861,19611,939.186,2.98,3.1,20.53,3.201,0.072,9433,1,1
20.575,47.54,1164,586,12816,19449,938.988,2.08,2.16,14.33,2.234,0.05,12692,1,1
-5.012,57.36,624,546,12870,19624,939.177,3.08,3.2,21.21,3.307,0.075,9407,1,1
12.145,52.05,977,591,12827,19482,939.078,2.0,2.08,13.78,2.149,0.049,11526,1,1
27.23,42.07,0,400,13284,21160,937.426,1.91,1.99,13.17,2.053,0.046,3626,0,0
24.71,52.52,1314,420,12950,19393,938.697,2.07,2.15,14.26,2.223,0.05,20922,1,1
22.4,47.83,60,400,13247,20150,939.666,2.57,2.67,17.66,2.755,0.062,4465,1,1
-8.152,41.65,90,400,12789,20640,937.458,1.99,2.07,13.73,2.141,0.048,1416,0,0
-4.868,49.85,239,400,13134,20025,939.523,0.47,0.49,3.21,0.501,0.011,7161,1,1
39.4,13.81,567,4950,12240,20010,930.89,1.12,1.16,7.71,1.202,0.027,787,1,1
18.58,49.95,115,400,13175,20065,939.661,1.01,1.05,6.94,1.083,0.024,2689,0,0
20.515,53.16,1164,542,12830,19440,938.903,2.0,2.07,13.75,2.143,0.048,13256,1,1
-8.158,47.32,1187,400,13015,19426,938.774,2.45,2.54,16.84,2.627,0.059,24264,1,1
0.221,49.19,164,400,13209,20054,939.668,2.08,2.17,14.34,2.237,0.051,3938,1,1
-2.864,50.92,835,723,12776,19533,939.116,2.46,2.56,16.96,2.645,0.06,10005,1,1
52.4,13.16,2095,400,13638,20145,936.681,0.99,1.03,6.84,1.066,0.024,5507,0,0
25.923,45.05,31,412,12861,20759,937.575,2.26,2.35,15.54,2.424,0.055,136,0,0
26.69,45.69,49,406,12832,20739,937.558,2.17,2.25,14.94,2.329,0.053,314,0,0
27.117,49.62,36,400,13016,19914,939.744,0.22,0.23,1.52,0.236,0.005,1000,0,0
14.762,52.84,1124,406,12898,19452,938.772,1.86,1.93,12.81,1.998,0.045,17145,1,1
28.05,45.44,191,419,12777,20532,937.363,1.55,1.61,10.69,1.667,0.038,3087,0,0
24.93,51.55,1151,472,12860,19437,938.817,1.92,1.99,13.21,2.06,0.047,14919,1,1
4.245,54.59,969,657,12798,19490,939.052,2.24,2.33,15.44,2.408,0.054,10812,1,1
12.53,56.67,0,400,12345,18651,939.744,0.0,0.0,0.0,0.0,0.0,1,0,0
20.87,50.42,321,400,13107,19940,939.416,0.28,0.29,1.94,0.303,0.007,8227,1,1
27.02,47.74,1323,400,12975,19386,938.687,2.01,2.09,13.83,2.157,0.049,23549,1,1
16.143,52.99,1140,607,12811,19446,939.042,2.07,2.15,14.22,2.218,0.05,11930,1,1
2.755,15.05,1268,400,13645,20354,936.689,0.65,0.67,4.46,0.696,0.016,5655,0,0
24.48,53.67,1163,411,12895,19442,938.779,1.5,1.56,10.36,1.615,0.036,17217,1,1
-5.235,56.08,377,400,13050,19892,939.268,0.46,0.48,3.2,0.498,0.011,9026,1,1
16.71,48.6,35,400,13090,19973,939.696,0.63,0.65,4.31,0.672,0.015,1443,0,0
12.038,47.07,1180,423,12865,19432,938.81,1.68,1.74,11.53,1.798,0.041,15630,1,1
26.87,46.85,1028,400,13006,19475,938.714,2.45,2.55,16.88,2.632,0.059,20659,1,1
26.81,48.52,1222,405,12919,19422,938.706,1.47,1.53,10.12,1.578,0.036,19573,1,1
24.09,52.2,900,683,12787,19504,939.073,2.21,2.3,15.24,2.377,0.054,10613,1,1
24.48,53.72,1377,422,12971,19382,938.709,1.71,1.77,11.75,1.833,0.041,23629,1,1
26.72,47.59,1005,602,12819,19475,939.061,1.94,2.01,13.34,2.08,0.047,11720,1,1
12.595,52.09,1107,433,12871,19454,938.84,1.87,1.95,12.9,2.011,0.045,15221,1,1
12.451,53.05,1130,443,12867,19445,938.814,1.93,2.0,13.27,2.069,0.047,15291,1,1
10.512,47.38,1057,625,12811,19468,939.101,2.44,2.54,16.8,2.619,0.059,11376,1,1
-1.641,51.81,1264,400,12995,19410,938.764,1.59,1.65,10.96,1.709,0.039,24484,1,1
28.75,41.61,119,400,12800,20605,937.322,1.71,1.78,11.79,1.839,0.042,2265,0,0
29.07,40.79,84,400,12789,20654,937.49,1.97,2.05,13.55,2.113,0.048,1187,0,0
28.38,65.8,2373,400,13374,20022,937.007,0.6,0.63,4.16,0.648,0.015,4021,0,0
24.65,52.9,1096,400,12946,19456,938.731,2.1,2.19,14.49,2.259,0.051,20204,1,1
-4.64,56.63,256,400,13127,20004,939.514,0.44,0.45,3.0,0.468,0.011,7254,1,1
13.514,47.15,1103,445,12868,19456,938.81,1.78,1.85,12.27,1.913,0.043,14906,1,1
16.106,48.35,1256,403,12929,19419,938.738,1.49,1.54,10.23,1.595,0.036,20055,1,1
26.13,46.88,119,405,12786,20606,937.351,1.84,1.91,12.66,1.974,0.045,2224,0,0
25.95,53.11,1109,400,12953,19447,938.71,2.15,2.23,14.78,2.305,0.052,20222,1,1
24.48,53.02,1086,566,12828,19455,939.001,2.06,2.14,14.16,2.208,0.05,12594,1,1
25.27,49.6,1247,428,12878,19422,938.763,2.29,2.38,15.77,2.459,0.056,16654,1,1
14.066,42.04,171,437,12779,20559,937.37,1.56,1.63,10.77,1.679,0.038,2691,0,0
7.655,40.66,86,438,12774,20671,937.56,1.86,1.93,12.77,1.991,0.045,762,0,0
20.23,58.21,318,400,13113,19899,939.698,1.11,1.16,7.65,1.193,0.027,3463,1,1
12.513,47.86,1140,400,12888,19448,938.739,1.95,2.03,13.42,2.093,0.047,16336,1,1
6.302,46.14,95,441,12773,20662,937.559,1.79,1.86,12.34,1.924,0.043,787,0,0
13.57,47.51,992,593,12818,19479,939.058,2.22,2.31,15.31,2.388,0.054,11662,1,1
-6.88,23.76,60000,7804,11484,16703,936.833,2742.77,2849.63,18877.35,2943.699,66.486,4963,0,0
18.13,51.31,0,400,13146,20049,939.6,0.82,0.85,5.62,0.876,0.02,1659,0,0
19.05,52.74,262,400,13119,19999,939.516,0.47,0.49,3.22,0.502,0.011,7230,1,1
24.73,52.59,1084,445,12867,19468,938.806,1.81,1.88,12.45,1.942,0.044,14984,1,1
14.2,49.53,10,400,12738,19755,939.838,0.19,0.24,1.22,0.252,0.042,426,0,0
9.203,47.93,174,431,12768,20555,937.333,1.54,1.6,10.58,1.65,0.037,2587,0,0
17.35,49.33,2,400,13101,19982,939.717,0.48,0.5,3.29,0.513,0.012,1319,0,0
23.744,47.42,64,400,13123,19994,939.596,0.61,0.64,4.22,0.658,0.015,1854,0,0
26.22,52.05,1042,400,12900,19467,938.743,1.89,1.96,13.0,2.026,0.046,16323,1,1
-4.733,56.0,337,400,13095,19917,939.319,0.21,0.22,1.46,0.228,0.005,8473,1,1
-17.595,53.55,1415,416,12956,19376,938.735,2.22,2.31,15.31,2.387,0.054,22369,1,1
24.92,51.88,1233,405,12908,19422,938.715,1.71,1.77,11.74,1.831,0.041,18519,1,1
-7.969,54.14,167,400,13174,20101,939.682,1.08,1.12,7.41,1.155,0.026,6222,1,1
26.94,47.29,1230,400,12968,19422,938.704,1.91,1.98,13.12,2.045,0.046,20782,1,1
24.424,55.2,46,400,13123,20009,939.619,0.76,0.79,5.2,0.811,0.018,1761,0,0
15.946,47.51,1308,432,12919,19407,938.719,1.47,1.53,10.11,1.576,0.036,20071,1,1
-4.741,45.2,67,400,12779,20669,937.526,2.26,2.35,15.56,2.427,0.055,1020,0,0
-4.39,56.79,314,400,13105,19946,939.39,0.29,0.3,1.96,0.306,0.007,8202,1,1
29.63,39.69,66,402,12826,20711,937.534,2.03,2.11,14.0,2.183,0.049,412,0,0
28.88,41.23,123,411,12782,20595,937.405,1.97,2.04,13.53,2.109,0.048,1788,0,0
21.97,50.12,58,400,13255,20156,939.658,2.41,2.5,16.59,2.587,0.058,4449,1,1
20.34,64.03,675,719,12770,19583,939.153,2.42,2.51,16.63,2.593,0.059,9496,1,1
20.99,50.81,213,400,13152,20057,939.591,0.45,0.47,3.09,0.481,0.011,6851,1,1
15.563,50.47,1182,483,12855,19435,938.919,1.85,1.92,12.71,1.982,0.045,14436,1,1
-6.189,53.58,11,400,13274,20214,939.635,2.47,2.56,16.98,2.648,0.06,4623,1,1
20.184,48.03,1170,400,12919,19432,938.72,1.52,1.58,10.44,1.628,0.037,18556,1,1
26.33,50.58,1343,403,12949,19395,938.725,2.28,2.37,15.71,2.45,0.055,20885,1,1
2.59,47.48,1339,408,12950,19385,938.69,2.14,2.22,14.73,2.296,0.052,21026,1,1
16.24,54.96,62,400,13118,19994,939.631,0.75,0.78,5.2,0.81,0.018,1824,0,0
39.36,14.65,0,1527,12839,20165,930.907,0.92,0.95,6.32,0.985,0.022,560,1,1
-18.459,12.59,3949,400,13434,19751,936.685,0.66,0.69,4.57,0.713,0.016,5452,0,0
-9.194,50.61,6,400,13273,20234,939.719,2.5,2.6,17.24,2.688,0.061,5348,1,1
28.63,41.87,80,400,12792,20634,937.397,2.13,2.21,14.63,2.282,0.052,1535,0,0
24.134,40.7,87,431,12817,20675,937.543,1.95,2.03,13.45,2.097,0.047,414,0,0
25.81,48.83,179,413,12772,20546,937.432,2.05,2.13,14.13,2.204,0.05,2896,0,0
-4.981,50.4,352,400,13089,19916,939.297,0.24,0.25,1.67,0.26,0.006,8677,1,1
26.95,47.79,1293,400,12996,19407,938.817,2.27,2.36,15.61,2.435,0.055,24627,1,1
22.62,51.68,323,400,13112,19901,939.712,1.33,1.38,9.17,1.43,0.032,3572,1,1
-8.519,49.39,155,400,13179,20114,939.676,1.4,1.46,9.64,1.503,0.034,6031,1,1
26.36,48.08,1011,656,12796,19480,939.066,2.4,2.49,16.52,2.576,0.058,10844,1,1
26.72,47.99,1025,568,12827,19471,939.018,2.4,2.5,16.55,2.581,0.058,12193,1,1
-7.865,54.06,1348,420,12955,19383,938.713,2.47,2.57,17.01,2.653,0.06,21660,1,1
27.123,41.23,88,451,12823,20699,937.571,1.95,2.03,13.43,2.095,0.047,235,0,0
20.649,30.87,7707,400,12975,19471,936.876,0.34,0.35,2.32,0.362,0.008,4319,0,0
28.08,45.52,187,413,12774,20524,937.41,1.67,1.74,11.51,1.795,0.041,3267,0,0
41.08,13.57,0,2911,12595,20319,930.941,0.85,0.88,5.86,0.914,0.021,607,1,1
25.84,47.79,104,400,12791,20620,937.378,1.97,2.05,13.56,2.114,0.048,1877,0,0
-5.242,57.74,381,400,13051,19890,939.266,0.44,0.46,3.03,0.472,0.011,9087,1,1
13.232,52.07,1208,417,12885,19432,938.767,1.96,2.04,13.51,2.106,0.048,16660,1,1
22.3,48.57,30,400,13251,20181,939.705,2.19,2.28,15.08,2.351,0.053,4943,1,1
26.44,49.31,1009,560,12832,19481,939.027,2.03,2.11,13.95,2.176,0.049,12247,1,1
25.82,48.63,163,425,12776,20555,937.352,1.76,1.83,12.14,1.893,0.043,2714,0,0
-1.173,50.06,910,710,12781,19514,939.068,2.31,2.4,15.9,2.48,0.056,10246,1,1
24.8,51.82,1099,557,12826,19452,938.966,2.15,2.23,14.79,2.306,0.052,12641,1,1
5.333,51.48,1074,671,12783,19464,939.058,2.3,2.39,15.82,2.467,0.056,10912,1,1
19.95,56.28,195,400,13163,20070,939.598,0.69,0.71,4.72,0.735,0.017,6719,1,1
27.06,47.15,1107,472,12855,19453,938.897,1.63,1.69,11.22,1.75,0.04,14244,1,1
17.83,48.98,16,400,13096,19987,939.694,0.55,0.57,3.81,0.593,0.013,1437,0,0
16.38,51.32,8,400,13060,19959,939.745,0.37,0.38,2.51,0.392,0.009,1146,0,0
22.81,56.62,935,711,12761,19491,939.077,2.2,2.29,15.17,2.366,0.053,10211,1,1
20.052,53.08,1174,528,12838,19437,938.867,1.89,1.97,13.03,2.032,0.046,13434,1,1
20.37,51.39,68,400,13236,20149,939.668,2.25,2.34,15.48,2.415,0.055,4539,1,1
21.04,48.72,58,400,13230,20188,939.741,2.49,2.58,17.1,2.667,0.06,5610,1,1
22.46,47.26,120,400,13227,20090,939.642,2.11,2.19,14.49,2.259,0.051,3985,1,1
24.48,53.04,1147,400,12974,19432,938.748,1.99,2.07,13.7,2.136,0.048,20452,1,1
24.54,53.35,1375,415,12951,19382,938.72,2.25,2.34,15.52,2.42,0.055,21707,1,1
19.839,53.33,1168,522,12843,19444,938.85,1.89,1.96,13.01,2.028,0.046,13500,1,1
43.58,31.76,10881,400,12847,19274,936.91,0.51,0.53,3.54,0.552,0.012,4342,0,0
12.216,47.61,1182,430,12877,19433,938.82,1.73,1.8,11.93,1.86,0.042,15437,1,1
18.6,56.34,219,400,13138,20042,939.586,0.53,0.55,3.67,0.573,0.013,6838,1,1
27.08,47.39,1115,400,12896,19450,938.77,1.5,1.56,10.33,1.611,0.036,16946,1,1
19.408,53.73,1186,402,12908,19434,938.7,1.52,1.57,10.43,1.626,0.037,18298,1,1
20.701,49.23,181,435,12765,20538,937.365,1.87,1.94,12.84,2.003,0.045,3022,0,0
19.609,43.27,161,410,12782,20558,937.424,1.79,1.86,12.31,1.919,0.043,2854,0,0
17.869,47.56,1136,400,12912,19443,938.7,1.73,1.8,11.9,1.855,0.042,17904,1,1
29.79,39.09,37,421,12860,20764,937.603,2.35,2.44,16.17,2.521,0.057,101,0,0
25.688,53.6,25,400,12805,19791,939.836,0.17,0.18,1.18,0.183,0.004,552,0,0
27.09,47.38,1050,400,12893,19465,938.771,1.65,1.71,11.35,1.77,0.04,16585,1,1
20.849,47.5,981,518,12844,19487,938.914,2.0,2.08,13.77,2.147,0.048,12977,1,1
10.479,47.45,1074,632,12806,19461,939.11,2.28,2.36,15.66,2.443,0.055,11373,1,1
-9.227,41.43,83,400,12792,20662,937.503,2.28,2.37,15.69,2.446,0.055,1237,0,0
55.43,12.17,7154,400,13325,19549,936.695,2.8,2.91,19.27,3.004,0.068,5393,0,0
10.704,47.58,138,400,13173,20031,939.681,0.93,0.96,6.39,0.996,0.023,3072,0,0
27.06,47.53,1199,400,12918,19427,938.687,1.86,1.93,12.78,1.993,0.045,18926,1,1
25.639,44.17,73,437,12849,20718,937.578,2.28,2.37,15.69,2.446,0.055,125,0,0
36.26,15.61,0,1425,12828,20601,930.878,1.09,1.13,7.48,1.167,0.026,858,1,1
43.11,18.49,0,400,13645,21368,936.799,0.93,0.96,6.39,0.996,0.023,4787,0,0
22.43,47.03,155,400,13216,20071,939.658,1.76,1.83,12.13,1.891,0.043,3799,1,1
29.03,40.84,83,400,12790,20635,937.425,1.67,1.73,11.49,1.791,0.04,1552,0,0
-4.051,52.32,678,851,12703,19581,939.123,2.46,2.55,16.92,2.638,0.06,9765,1,1
55.5,20.42,60000,15915,11086,15861,936.811,10184.66,18770.23,49522.45,20724.281,8195.609,5088,0,0
11.997,53.58,1157,419,12875,19433,938.805,2.0,2.08,13.78,2.149,0.049,15779,1,1
-4.104,56.39,309,400,13116,19956,939.402,0.28,0.29,1.94,0.303,0.007,7863,1,1
20.789,48.7,1178,400,12924,19432,938.699,1.55,1.62,10.7,1.669,0.038,18971,1,1
21.425,51.7,0,400,13174,20080,939.649,0.96,1.0,6.63,1.035,0.023,2125,0,0
26.58,49.14,1166,522,12834,19437,938.902,1.57,1.64,10.84,1.69,0.038,13387,1,1
20.52,43.82,180,420,12776,20546,937.413,1.65,1.71,11.33,1.767,0.04,2911,0,0
0.864,47.98,174,436,12769,20543,937.323,1.92,2.0,13.25,2.065,0.047,2408,0,0
18.64,55.42,344,400,13088,19914,939.326,0.39,0.4,2.66,0.415,0.009,8577,1,1
25.99,46.77,1141,533,12836,19436,938.866,1.84,1.91,12.65,1.973,0.045,13591,1,1
-4.362,48.74,101,400,13237,20120,939.654,2.25,2.33,15.46,2.411,0.054,4395,1,1
-8.558,49.73,130,400,13193,20137,939.672,1.5,1.55,10.29,1.605,0.036,6016,1,1
26.77,43.92,213,471,12754,20507,937.322,1.91,1.99,13.15,2.051,0.046,2395,0,0
12.121,47.24,1126,403,12877,19449,938.79,1.58,1.64,10.87,1.695,0.038,16047,1,1
21.01,57.24,457,563,12863,19808,939.227,1.61,1.68,11.11,1.732,0.039,9217,1,1
22.32,48.3,47,400,13243,20177,939.702,2.54,2.64,17.48,2.726,0.062,5005,1,1
26.846,39.4,30,400,12843,20751,937.588,1.89,1.96,12.99,2.026,0.046,289,0,0
40.83,13.45,1346,16228,11662,19588,930.926,7.81,8.12,53.79,8.387,0.189,669,1,1
-21.696,47.67,1396,413,12963,19376,938.702,1.82,1.89,12.5,1.95,0.044,23311,1,1
20.53,49.62,105,400,13209,20165,939.643,1.82,1.89,12.53,1.953,0.044,5911,1,1
28.7,42.81,201,424,12776,20530,937.413,1.59,1.65,10.91,1.702,0.038,3280,0,0
-9.634,53.83,1352,413,12957,19393,938.697,1.98,2.06,13.65,2.128,0.048,21773,1,1
6.302,60.94,265,400,13147,19948,939.674,1.74,1.81,11.99,1.87,0.042,3425,1,1
25.27,49.64,1201,416,12902,19436,938.705,1.76,1.83,12.11,1.889,0.043,17854,1,1
14.076,44.46,234,449,12754,20480,937.431,1.6,1.66,11.01,1.717,0.039,3392,0,0
-4.325,56.83,319,400,13107,19952,939.385,0.21,0.22,1.44,0.225,0.005,8144,1,1
18.69,53.03,1130,504,12847,19451,938.904,2.25,2.34,15.48,2.413,0.055,13792,1,1
-5.043,60.4,620,556,12866,19637,939.194,2.4,2.5,16.54,2.579,0.058,9386,1,1
26.8,48.24,1335,400,12977,19391,938.704,2.22,2.31,15.3,2.386,0.054,23778,1,1
15.479,50.92,1180,624,12805,19443,939.037,2.31,2.4,15.9,2.479,0.056,11857,1,1
26.99,47.59,1157,403,12902,19440,938.726,1.3,1.35,8.94,1.394,0.031,17542,1,1
24.49,53.61,1180,404,12912,19435,938.727,1.61,1.67,11.07,1.727,0.039,18594,1,1
-5.24,51.22,360,400,13060,19907,939.278,0.35,0.36,2.4,0.375,0.008,9117,1,1
25.91,47.46,124,409,12780,20596,937.382,2.05,2.13,14.1,2.199,0.05,1872,0,0
-4.351,52.19,282,400,13116,19987,939.511,0.5,0.51,3.41,0.532,0.012,7401,1,1
17.031,51.86,2988,400,13308,19856,936.962,0.56,0.58,3.83,0.597,0.013,4069,0,0
-5.242,56.61,381,400,13038,19876,939.287,0.32,0.33,2.19,0.342,0.008,9080,1,1
19.352,53.92,1218,415,12925,19424,938.708,1.89,1.96,13.01,2.03,0.046,19617,1,1
19.55,55.59,35,400,13243,20220,939.673,2.47,2.56,16.97,2.647,0.06,5812,1,1
28.75,42.41,169,421,12774,20547,937.405,2.02,2.1,13.89,2.166,0.049,2923,0,0
21.08,45.78,155,400,13155,20024,939.611,0.91,0.95,6.29,0.981,0.022,2962,0,0
26.58,45.38,112,406,12775,20634,937.46,2.06,2.14,14.2,2.215,0.05,1200,0,0
-8.723,49.66,39,400,13241,20182,939.707,1.71,1.77,11.75,1.832,0.041,5113,1,1
-21.925,52.59,1272,400,12987,19408,938.719,1.79,1.86,12.32,1.921,0.043,23223,1,1
19.33,53.16,214,400,13144,20048,939.604,0.72,0.75,4.94,0.77,0.017,6636,1,1
18.712,53.31,1126,400,12909,19447,938.717,1.66,1.73,11.44,1.784,0.04,18110,1,1
-2.066,48.82,128,400,13225,20090,939.643,1.74,1.81,11.97,1.867,0.042,4153,1,1
-15.218,47.74,1344,405,12961,19385,938.717,2.25,2.33,15.46,2.41,0.054,22167,1,1
27.04,47.61,1346,411,12967,19387,938.741,2.21,2.3,15.21,2.372,0.054,22830,1,1
26.067,53.06,2,400,13123,20021,939.709,0.66,0.68,4.53,0.707,0.016,1478,0,0
12.589,53.61,1208,413,12885,19436,938.754,1.69,1.76,11.63,1.813,0.041,16377,1,1
-11.561,54.22,1274,400,12974,19410,938.753,1.79,1.86,12.35,1.925,0.043,21901,1,1
26.95,47.25,1208,400,12967,19418,938.696,1.89,1.97,13.03,2.031,0.046,20783,1,1
-4.687,52.92,1354,406,12953,19390,938.711,1.6,1.66,11.03,1.72,0.039,21464,1,1
23.27,62.47,405,1405,12998,19563,931.215,12944.45,33210.26,39440.16,37526.898,19496.039,121,1,1
-3.282,46.58,136,411,12785,20588,937.341,1.8,1.87,12.39,1.932,0.044,2282,0,0
23.96,50.69,977,726,12764,19480,939.059,2.44,2.53,16.77,2.614,0.059,10249,1,1
27.09,47.12,1088,456,12865,19460,938.85,1.71,1.78,11.76,1.834,0.041,14847,1,1
-5.101,56.49,244,400,13127,20023,939.571,0.38,0.4,2.63,0.411,0.009,7076,1,1
3.11,50.26,940,663,12794,19492,939.096,2.46,2.56,16.95,2.644,0.06,10705,1,1
-0.624,53.19,942,710,12773,19493,939.092,2.27,2.36,15.65,2.441,0.055,10313,1,1
24.87,52.24,1243,411,12906,19421,938.698,1.57,1.63,10.77,1.68,0.038,18820,1,1
24.57,53.29,1155,400,12896,19443,938.78,1.7,1.77,11.72,1.828,0.041,16970,1,1
19.91,53.75,12,400,13249,20214,939.691,2.87,2.98,19.74,3.078,0.07,5264,1,1
-8.668,14.1,1664,400,13659,20243,936.69,0.91,0.94,6.24,0.973,0.022,5571,0,0
24.33,53.38,1113,587,12819,19457,939.018,2.21,2.29,15.2,2.37,0.054,12059,1,1
-6.459,42.52,106,400,12786,20616,937.412,2.04,2.12,14.05,2.191,0.049,1531,0,0
26.53,49.51,1040,437,12876,19456,938.807,1.83,1.9,12.57,1.959,0.044,14947,1,1
19.996,47.44,1203,400,12926,19432,938.68,1.78,1.85,12.23,1.908,0.043,19469,1,1
2.754,49.26,1279,400,12996,19413,938.789,2.05,2.13,14.11,2.2,0.05,24610,1,1
25.26,49.23,1456,420,12948,19373,938.7,2.18,2.26,15.0,2.339,0.053,22173,1,1
-4.295,46.79,121,403,12785,20598,937.388,1.93,2.0,13.25,2.066,0.047,1865,0,0
-4.214,59.04,783,932,12661,19537,939.14,2.61,2.72,17.99,2.805,0.063,9722,1,1
13.56,56.97,8,400,13041,19935,939.797,0.26,0.27,1.77,0.276,0.006,1080,0,0
12.62,47.01,1082,430,12878,19459,938.826,2.11,2.19,14.54,2.267,0.051,15210,1,1
16.502,46.95,1143,617,12806,19434,939.047,2.16,2.24,14.86,2.317,0.052,11971,1,1
20.37,47.75,6,400,13219,20166,939.613,1.07,1.12,7.39,1.152,0.026,2492,0,0
25.17,44.81,0,400,13269,21191,937.418,1.75,1.82,12.07,1.882,0.043,3617,0,0
20.63,44.1,46,4666,12248,19649,931.2,1.49,1.85,9.53,1.958,0.325,15,0,0
12.756,48.62,1157,452,12868,19436,938.816,1.48,1.54,10.2,1.591,0.036,15153,1,1
26.83,48.07,1346,404,12950,19394,938.693,1.95,2.03,13.43,2.095,0.047,21076,1,1
53.15,21.08,25386,661,12674,18857,936.922,0.74,0.77,5.12,0.799,0.018,4491,0,0
18.36,50.1,28,400,13205,20128,939.613,1.11,1.15,7.62,1.189,0.027,2426,0,0
24.52,53.55,1436,417,12969,19371,938.735,1.71,1.78,11.77,1.835,0.041,23747,1,1
24.52,53.6,1205,400,12927,19432,938.716,1.73,1.8,11.9,1.856,0.042,19612,1,1
0.304,52.94,1314,400,12950,19398,938.684,1.86,1.94,12.83,2.001,0.045,21164,1,1
20.54,49.52,33,400,13244,20196,939.718,2.2,2.28,15.13,2.36,0.053,5312,1,1
27.27,43.98,28,456,12860,20751,937.601,2.26,2.35,15.58,2.429,0.055,4,1,1
13.06,52.81,0,400,12448,19155,939.758,0.0,0.0,0.0,0.0,0.0,8,0,0
26.32,50.85,994,522,12844,19484,938.911,2.05,2.13,14.09,2.198,0.05,12964,1,1
16.825,47.27,1059,471,12865,19469,938.901,1.5,1.56,10.33,1.611,0.036,14182,1,1
-20.749,54.0,1348,407,12965,19388,938.745,1.9,1.98,13.08,2.04,0.046,22736,1,1
13.174,49.87,1063,431,12870,19463,938.817,2.02,2.1,13.89,2.166,0.049,15006,1,1
24.78,52.15,1132,488,12857,19456,938.891,2.06,2.14,14.17,2.209,0.05,14202,1,1
20.793,53.15,1186,400,12931,19437,938.725,1.95,2.03,13.44,2.096,0.047,19022,1,1
12.204,47.15,1153,425,12874,19441,938.825,1.84,1.91,12.64,1.97,0.045,15446,1,1
16.791,50.33,1021,579,12825,19470,939.038,2.06,2.14,14.18,2.212,0.05,12005,1,1
20.259,49.19,1197,400,12929,19437,938.686,1.77,1.84,12.17,1.898,0.043,19389,1,1
19.23,54.48,194,400,13153,20061,939.632,1.07,1.11,7.36,1.147,0.026,6462,1,1
26.33,46.85,180,449,12767,20546,937.363,1.73,1.8,11.93,1.861,0.042,2700,0,0
